Grado;T.Clasico;T.Karatsuba
1;1.203;1.688
2;2.391;3.094
3;3.688;3.375
4;4.312;4.094
5;5.516;5.266
6;6.250;5.547
7;7.156;7.781
8;8.547;8.156
9;9.906;9.578
10;11.344;11.109
11;12.891;11.875
12;14.562;13.547
13;16.047;15.781
14;19.438;17.156
15;21.922;19.016
16;23.875;21.938
17;26.219;22.844
18;28.031;24.891
19;31.906;28.953
20;35.062;30.656
21;41.016;34.359
22;40.188;36.297
23;47.609;42.484
24;50.422;43.578
25;53.469;46.734
26;58.766;49.609
27;66.109;56.734
28;70.750;60.906
29;75.438;64.969
30;78.859;66.578
31;84.234;69.281
32;89.312;76.172
33;97.188;81.719
34;98.281;85.000
35;105.500;88.391
36;112.438;93.094
37;128.156;107.594
38;134.250;113.062
39;143.141;119.766
40;150.219;127.359
41;157.141;132.641
42;168.672;140.109
43;174.062;141.891
44;180.656;150.109
45;195.938;164.219
46;201.656;166.016
47;217.375;183.938
48;232.750;184.938
49;240.984;196.797
50;243.625;200.656
51;267.875;219.078
52;269.062;218.891
53;297.891;242.828
54;304.125;242.969
