Grado;T.Clasico;T.Karatsuba
1;0.001215;0.001335
2;0.001665;0.001665
3;0.002175;0.002280
4;0.002820;0.002820
5;0.003345;0.003540
6;0.003795;0.004620
7;0.005430;0.005190
8;0.005895;0.006525
9;0.007230;0.007755
10;0.008655;0.008700
11;0.010095;0.010305
12;0.012210;0.011445
13;0.013890;0.013050
14;0.015900;0.013815
15;0.017175;0.017670
16;0.020340;0.019680
17;0.022725;0.021960
18;0.023580;0.023340
19;0.027285;0.026310
20;0.029580;0.028305
21;0.033645;0.031125
22;0.036435;0.035655
23;0.041835;0.039750
24;0.043455;0.041460
25;0.048000;0.045330
26;0.052260;0.050055
27;0.055665;0.051375
28;0.062775;0.056325
29;0.067140;0.063405
30;0.073470;0.065415
31;0.076950;0.071130
32;0.083040;0.078090
33;0.090405;0.082995
34;0.096675;0.089550
35;0.104340;0.096075
36;0.103890;0.096510
37;0.119175;0.107235
38;0.125490;0.112755
39;0.128700;0.116385
40;0.135840;0.122970
41;0.146535;0.133800
42;0.156240;0.141900
43;0.165240;0.150795
44;0.175920;0.160500
45;0.180045;0.162450
46;0.197040;0.180435
47;0.202095;0.184350
48;0.212190;0.190515
49;0.224100;0.199815
50;0.243210;0.220680
