Grado;T.Clasico;T.Karatsuba;;Grado;T.Clasico;T.Karatsuba
1;0,002;0,002;;1;0,002;0,002
2;0,004;0,003;;2;0,004;0,003
3;0,004;0,004;;3;0,004;0,004
4;0,007;0,004;;4;0,007;0,004
5;0,007;0,004;;5;0,007;0,004
6;0,004;0,007;;6;0,004;0,007
7;0,007;0,006;;7;0,007;0,006
8;0,01;0,009;;8;0,01;0,009
9;0,011;0,01;;9;0,011;0,01
10;0,011;0,014;;10;0,011;0,014
11;0,012;0,012;;11;0,012;0,012
12;0,015;0,014;;12;0,015;0,014
13;0,019;0,012;;13;0,019;0,012
14;0,023;0,015;;14;0,023;0,015
15;0,022;0,021;;15;0,022;0,021
16;0,022;0,021;;16;0,022;0,021
17;0,021;0,026;;17;0,021;0,026
18;0,028;0,029;;18;0,028;0,029
19;0,032;0,033;;19;0,032;0,033
20;0,035;0,033;;20;0,035;0,033
21;0,044;0,032;;21;0,044;0,032
22;0,045;0,039;;22;0,045;0,039
23;0,046;0,038;;23;0,046;0,038
24;0,052;0,046;;24;0,052;0,046
25;0,058;0,049;;25;0,058;0,049
26;0,062;0,054;;26;0,062;0,054
27;0,07;0,069;;27;0,07;0,069
28;0,061;0,06;;28;0,061;0,06
29;0,078;0,076;;29;0,078;0,076
30;0,078;0,068;;30;0,078;0,068
31;0,085;0,077;;31;0,085;0,077
32;0,094;0,085;;32;0,094;0,085
33;0,097;0,089;;33;0,097;0,089
34;0,094;0,084;;34;0,094;0,084
35;0,108;0,086;;35;0,108;0,086
36;0,116;0,096;;36;0,116;0,096
37;0,126;0,11;;37;0,126;0,11
38;0,132;0,118;;38;0,132;0,118
39;0,152;0,128;;39;0,152;0,128
40;0,148;0,131;;40;0,148;0,131
41;0,172;0,143;;41;0,172;0,143
42;0,168;0,152;;42;0,168;0,152
43;0,194;0,174;;43;0,194;0,174
44;0,184;0,169;;44;0,184;0,169
45;0,198;0,168;;45;0,198;0,168
46;0,218;0,196;;46;0,218;0,196
47;0,238;0,19;;47;0,238;0,19
48;0,205;0,183;;48;0,205;0,183
49;0,219;0,206;;49;0,219;0,206
50;0,24;0,207;;50;0,24;0,207
51;0,237;0,229;;51;0,237;0,229
52;0,273;0,244;;52;0,273;0,244
53;0,307;0,273;;53;0,307;0,273
54;0,32;0,254;;54;0,32;0,254
55;0,322;0,273;;55;0,322;0,273
56;0,359;0,279;;56;0,359;0,279
57;0,299;0,238;;57;0,299;0,238
58;0,342;0,303;;58;0,342;0,303
59;0,376;0,32;;59;0,376;0,32
60;0,42;0,368;;60;0,42;0,368
61;0,399;0,355;;61;0,399;0,355
62;0,431;0,414;;62;0,431;0,414
63;0,42;0,355;;63;0,42;0,355
64;0,43;0,37;;64;0,43;0,37
65;0,476;0,435;;65;0,476;0,435
66;0,471;0,412;;66;0,471;0,412
67;0,476;0,456;;67;0,476;0,456
68;0,487;0,429;;68;0,487;0,429
69;0,526;0,486;;69;0,526;0,486
70;0,615;0,529;;70;0,615;0,529
71;0,574;0,499;;71;0,574;0,499
72;0,578;0,504;;72;0,578;0,504
73;0,652;0,562;;73;0,652;0,562
74;0,578;0,521;;74;0,578;0,521
75;0,672;0,566;;75;0,672;0,566
76;0,677;0,62;;76;0,677;0,62
77;0,631;0,54;;77;0,631;0,54
78;0,74;0,655;;78;0,74;0,655
79;0,746;0,666;;79;0,746;0,666
80;0,757;0,66;;80;0,757;0,66
81;0,767;0,697;;81;0,767;0,697
82;0,849;0,729;;82;0,849;0,729
83;0,867;0,757;;83;0,867;0,757
84;0,877;0,763;;84;0,877;0,763
85;0,953;0,811;;85;0,953;0,811
86;1.068;0,968;;86;1,068;0,968
87;1.020;0,907;;87;1,02;0,907
88;1.044;0,897;;88;1,044;0,897
89;1.022;0,915;;89;1,022;0,915
90;1.064;0,939;;90;1,064;0,939
91;1.127;1.008;;91;1,127;1,008
92;1.000;0,91;;92;1;0,91
93;1.259;1.097;;93;1,259;1,097
94;1.167;1.046;;94;1,167;1,046
95;1.227;1.108;;95;1,227;1,108
96;1.315;1.125;;96;1,315;1,125
97;1.176;1.024;;97;1,176;1,024
98;1.310;1.116;;98;1,31;1,116
99;1.440;1.263;;99;1,44;1,263
100;1.405;1.247;;100;1,405;1,247
