Grado;T.Clasico;T.Karatsuba;;;T.Clasico;T.Karatsuba
1;0,001;0,001;;;0,001;0,001
2;0,005;0,006;;;0,005;0,006
3;0,007;0,007;;;0,007;0,007
4;0,008;0,008;;;0,008;0,008
5;0,014;0,01;;;0,014;0,01
6;0,014;0,013;;;0,014;0,013
7;0,017;0,018;;;0,017;0,018
8;0,02;0,018;;;0,02;0,018
9;0,022;0,023;;;0,022;0,023
10;0,027;0,026;;;0,027;0,026
11;0,031;0,027;;;0,031;0,027
12;0,035;0,034;;;0,035;0,034
13;0,041;0,036;;;0,041;0,036
14;0,045;0,04;;;0,045;0,04
15;0,051;0,047;;;0,051;0,047
16;0,054;0,05;;;0,054;0,05
17;0,065;0,057;;;0,065;0,057
18;0,074;0,063;;;0,074;0,063
19;0,076;0,069;;;0,076;0,069
20;0,08;0,075;;;0,08;0,075
21;0,09;0,081;;;0,09;0,081
22;0,104;0,092;;;0,104;0,092
23;0,101;0,093;;;0,101;0,093
24;0,119;0,107;;;0,119;0,107
25;0,122;0,112;;;0,122;0,112
26;0,145;0,131;;;0,145;0,131
27;0,15;0,138;;;0,15;0,138
28;0,161;0,146;;;0,161;0,146
29;0,166;0,148;;;0,166;0,148
30;0,177;0,16;;;0,177;0,16
31;0,193;0,176;;;0,193;0,176
32;0,22;0,2;;;0,22;0,2
33;0,23;0,203;;;0,23;0,203
34;0,231;0,213;;;0,231;0,213
35;0,249;0,224;;;0,249;0,224
36;0,252;0,213;;;0,252;0,213
37;0,276;0,244;;;0,276;0,244
38;0,298;0,268;;;0,298;0,268
39;0,29;0,266;;;0,29;0,266
40;0,322;0,285;;;0,322;0,285
41;0,344;0,303;;;0,344;0,303
42;0,329;0,292;;;0,329;0,292
43;0,389;0,356;;;0,389;0,356
44;0,39;0,358;;;0,39;0,358
45;0,418;0,372;;;0,418;0,372
46;0,403;0,37;;;0,403;0,37
47;0,437;0,38;;;0,437;0,38
48;0,47;0,427;;;0,47;0,427
49;0,498;0,426;;;0,498;0,426
50;0,513;0,446;;;0,513;0,446
51;0,534;0,46;;;0,534;0,46
52;0,544;0,496;;;0,544;0,496
53;0,583;0,508;;;0,583;0,508
54;0,624;0,551;;;0,624;0,551
55;0,61;0,54;;;0,61;0,54
56;0,665;0,57;;;0,665;0,57
57;0,636;0,562;;;0,636;0,562
58;0,675;0,597;;;0,675;0,597
59;0,792;0,704;;;0,792;0,704
60;0,801;0,712;;;0,801;0,712
61;0,824;0,747;;;0,824;0,747
62;0,804;0,693;;;0,804;0,693
63;0,835;0,74;;;0,835;0,74
64;0,946;0,839;;;0,946;0,839
65;0,969;0,842;;;0,969;0,842
66;0,984;0,868;;;0,984;0,868
67;0,966;0,857;;;0,966;0,857
68;1.057;0,925;;;1,057;0,925
69;1.032;0,904;;;1,032;0,904
70;1.189;1.040;;;1,189;1,04
71;1.231;1.093;;;1,231;1,093
72;1.254;1.092;;;1,254;1,092
73;1.195;1.076;;;1,195;1,076
74;1.349;1.179;;;1,349;1,179
75;1.397;1.208;;;1,397;1,208
76;1.416;1.254;;;1,416;1,254
77;1.395;1.226;;;1,395;1,226
78;1.495;1.296;;;1,495;1,296
79;1.523;1.323;;;1,523;1,323
